Graph Algorithm population nodes edges steps fitness_evaluations covering_size edges_covered fitness
ca-GrQc_clean EA 10 5242 14496 44885 44894 3365 14493 82439057
ca-GrQc_clean EA 10 5242 14496 44885 44894 3407 14490 164874791
ca-GrQc_clean EA 10 5242 14496 44885 44894 3386 14491 137396206
ca-GrQc_clean EA 10 5242 14496 44885 44894 3392 14490 164874776
ca-GrQc_clean EA 10 5242 14496 44885 44894 3391 14491 137396211
ca-GrQc_clean EA 10 5242 14496 44885 44894 3387 14489 192353335
ca-GrQc_clean EA 10 5242 14496 44885 44894 3357 14491 137396177
ca-GrQc_clean EA 10 5242 14496 44885 44894 3393 14491 137396213
ca-GrQc_clean EA 10 5242 14496 44885 44894 3367 14491 137396187
ca-GrQc_clean EA 10 5242 14496 44885 44894 3382 14492 109917638
ca-GrQc_clean EA 30 5242 14496 44865 44894 3478 14151 9480108058
ca-GrQc_clean EA 30 5242 14496 44865 44894 3438 14119 10359422066
ca-GrQc_clean EA 30 5242 14496 44865 44894 3459 14151 9480108039
ca-GrQc_clean EA 30 5242 14496 44865 44894 3453 14146 9617500853
ca-GrQc_clean EA 30 5242 14496 44865 44894 3478 14165 9095408162
ca-GrQc_clean EA 30 5242 14496 44865 44894 3439 14125 10194550683
ca-GrQc_clean EA 50 5242 14496 44845 44894 3214 13750 20499011958
ca-GrQc_clean EA 30 5242 14496 44865 44894 3451 14148 9562543723
ca-GrQc_clean EA 50 5242 14496 44845 44894 3211 13741 20746319031
ca-GrQc_clean EA 30 5242 14496 44865 44894 3454 14154 9397672342
ca-GrQc_clean EA 50 5242 14496 44845 44894 3219 13744 20663883347
ca-GrQc_clean EA 30 5242 14496 44865 44894 3452 14124 10222029260
ca-GrQc_clean EA 30 5242 14496 44865 44894 3439 14115 10469336323
ca-GrQc_clean EA 50 5242 14496 44845 44894 3258 13764 20114312106
ca-GrQc_clean EA 70 5242 14496 44825 44894 3090 13465 28330402574
ca-GrQc_clean EA 50 5242 14496 44845 44894 3221 13671 22669818521
ca-GrQc_clean EA 50 5242 14496 44845 44894 3226 13697 21955375862
ca-GrQc_clean EA 50 5242 14496 44845 44894 3283 13743 20691361975
ca-GrQc_clean EA 50 5242 14496 44845 44894 3280 13719 21350847508
ca-GrQc_clean EA 70 5242 14496 44825 44894 3061 13343 31682787353
ca-GrQc_clean EA 90 5242 14496 44805 44894 3035 13173 36354143207
ca-GrQc_clean EA 70 5242 14496 44825 44894 3099 13429 29319630887
ca-GrQc_clean EA 90 5242 14496 44805 44894 3017 13184 36051878985
ca-GrQc_clean EA 70 5242 14496 44825 44894 3082 13432 29237195178
ca-GrQc_clean EA 90 5242 14496 44805 44894 3021 13182 36106836117
ca-GrQc_clean EA 70 5242 14496 44825 44894 3132 13417 29649373688
ca-GrQc_clean EA 90 5242 14496 44805 44894 3010 13203 35529786262
ca-GrQc_clean EA 50 5242 14496 44845 44894 3256 13700 21872940200
ca-GrQc_clean EA 70 5242 14496 44825 44894 3103 13425 29429545147
ca-GrQc_clean EA 90 5242 14496 44805 44894 3040 13166 36546493160
ca-GrQc_clean EA 70 5242 14496 44825 44894 3083 13413 29759287895
ca-GrQc_clean EA 70 5242 14496 44825 44894 3145 13430 29292152369
