Algorithm nodes edges power_exponent steps covering_size edges_covered fitness
EA 100 1735 2.5 3684 85 1735 85
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 85 1735 85
EA 100 1735 2.5 3684 87 1735 87
EA 100 1735 2.5 3684 85 1735 85
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 86 1735 86
EA 100 1735 2.5 3684 82 1735 82
EA 100 1735 2.5 3684 85 1735 85
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 85 1735 85
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 85 1735 85
EA 100 1735 2.5 3684 85 1735 85
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 85 1735 85
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 81 1735 81
EA 100 1735 2.5 3684 85 1735 85
EA 100 1735 2.5 3684 85 1735 85
EA 100 1735 2.5 3684 87 1735 87
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 81 1735 81
EA 100 1735 2.5 3684 86 1735 86
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 85 1735 85
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 85 1735 85
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 82 1735 82
EA 100 1735 2.5 3684 87 1735 87
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 86 1735 86
EA 100 1735 2.5 3684 87 1735 87
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 85 1735 85
EA 100 1735 2.5 3684 82 1735 82
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 85 1735 85
EA 100 1735 2.5 3684 86 1735 86
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 87 1735 87
EA 100 1735 2.5 3684 82 1735 82
EA 100 1735 2.5 3684 85 1735 85
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 82 1735 82
EA 100 1735 2.5 3684 87 1735 87
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 82 1735 82
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 87 1735 87
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 86 1735 86
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 81 1735 81
EA 100 1735 2.5 3684 85 1735 85
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 82 1735 82
EA 100 1735 2.5 3684 84 1735 84
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 83 1735 83
EA 100 1735 2.5 3684 83 1735 83
