Algorithm nodes edges power_exponent steps covering_size edges_covered fitness
greedy 500 1729 2.1 24858 399 1729 399
greedy 500 1952 2.15 24858 428 1952 428
greedy 500 2237 2.2 24858 459 2237 459
greedy 500 2502 2.25 24858 420 2502 420
greedy 500 2831 2.3 24858 445 2831 445
greedy 500 3113 2.35 24858 449 3113 449
greedy 500 3536 2.4 24858 471 3536 471
greedy 500 3987 2.45 24858 486 3987 486
greedy 500 4231 2.5 24858 460 4231 460
greedy 500 4672 2.55 24858 458 4672 458
greedy 500 5032 2.6 24858 480 5032 480
greedy 500 5469 2.65 24858 472 5469 472
greedy 500 5988 2.7 24858 496 5988 496
greedy 500 6338 2.75 24858 481 6338 481
greedy 500 6972 2.8 24858 488 6972 488
greedy 500 7346 2.85 24858 484 7346 484
greedy 500 7654 2.9 24858 481 7654 481
greedy 500 8373 2.95 24858 493 8373 493
