Algorithm nodes edges power_exponent steps covering_size edges_covered fitness
greedy 100 1735 2.5 3684 94 1735 94
greedy 150 2362 2.5 6012 143 2362 143
greedy 200 2743 2.5 8477 184 2743 184
greedy 250 3103 2.5 11042 234 3103 234
greedy 300 3331 2.5 13689 277 3331 277
greedy 350 3696 2.5 16402 331 3696 331
greedy 400 3820 2.5 19172 373 3820 373
greedy 450 4162 2.5 21993 442 4162 442
greedy 500 4216 2.5 24858 472 4216 472
greedy 550 4554 2.5 27763 523 4554 523
greedy 600 4643 2.5 30705 567 4643 567
greedy 650 4723 2.5 33680 629 4723 629
greedy 700 4908 2.5 36686 633 4908 633
greedy 750 5024 2.5 39720 703 5024 703
greedy 800 5329 2.5 42781 731 5329 731
greedy 850 5211 2.5 45867 795 5211 795
greedy 900 5555 2.5 48977 825 5555 825
greedy 950 5617 2.5 52109 866 5617 866
