Algorithm nodes edges power_exponent steps covering_size edges_covered fitness
EA 100 357 2.5 3684 57 357 57
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 54 357 54
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 49 357 49
EA 100 357 2.5 3684 49 357 49
EA 100 357 2.5 3684 49 357 49
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 50 357 50
EA 100 357 2.5 3684 50 357 50
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 54 357 54
EA 100 357 2.5 3684 49 357 49
EA 100 357 2.5 3684 56 357 56
EA 100 357 2.5 3684 54 357 54
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 49 357 49
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 52 357 52
EA 100 357 2.5 3684 50 357 50
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 54 357 54
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 49 357 49
EA 100 357 2.5 3684 50 357 50
EA 100 357 2.5 3684 50 357 50
EA 100 357 2.5 3684 50 357 50
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 54 357 54
EA 100 357 2.5 3684 54 357 54
EA 100 357 2.5 3684 54 357 54
EA 100 357 2.5 3684 49 357 49
EA 100 357 2.5 3684 54 357 54
EA 100 357 2.5 3684 55 357 55
EA 100 357 2.5 3684 54 357 54
EA 100 357 2.5 3684 57 357 57
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 52 357 52
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 56 357 56
EA 100 357 2.5 3684 49 357 49
EA 100 357 2.5 3684 52 357 52
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 52 357 52
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 52 357 52
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 52 357 52
EA 100 357 2.5 3684 49 357 49
EA 100 357 2.5 3684 52 357 52
EA 100 357 2.5 3684 50 357 50
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 56 357 56
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 49 357 49
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 56 357 56
EA 100 357 2.5 3684 49 357 49
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 50 357 50
EA 100 357 2.5 3684 50 357 50
EA 100 357 2.5 3684 49 357 49
EA 100 357 2.5 3684 49 357 49
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 49 357 49
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 56 357 56
EA 100 357 2.5 3684 54 357 54
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 49 357 49
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 49 357 49
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 50 357 50
EA 100 357 2.5 3684 55 357 55
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 57 357 57
EA 100 357 2.5 3684 56 357 56
EA 100 357 2.5 3684 54 357 54
EA 100 357 2.5 3684 53 357 53
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 54 357 54
EA 100 357 2.5 3684 51 357 51
EA 100 357 2.5 3684 56 357 56
EA 149 637 2.5 5964 89 637 89
EA 149 637 2.5 5964 83 637 83
