Algorithm nodes edges power_exponent steps covering_size edges_covered fitness
EA 500 1729 2.1 24858 209 1729 209
EA 500 1729 2.1 24858 214 1729 214
EA 500 1729 2.1 24858 223 1729 223
EA 500 1729 2.1 24858 206 1729 206
EA 500 1729 2.1 24858 217 1729 217
EA 500 1729 2.1 24858 219 1729 219
EA 500 1729 2.1 24858 206 1729 206
EA 500 1729 2.1 24858 208 1729 208
EA 500 1729 2.1 24858 204 1729 204
EA 500 1729 2.1 24858 214 1729 214
EA 500 1729 2.1 24858 201 1729 201
EA 500 1729 2.1 24858 207 1729 207
EA 500 1729 2.1 24858 206 1729 206
EA 500 1729 2.1 24858 204 1729 204
EA 500 1729 2.1 24858 215 1729 215
EA 500 1729 2.1 24858 212 1729 212
EA 500 1729 2.1 24858 217 1729 217
EA 500 1729 2.1 24858 204 1729 204
EA 500 1729 2.1 24858 221 1729 221
EA 500 1729 2.1 24858 210 1729 210
EA 500 1729 2.1 24858 206 1729 206
EA 500 1729 2.1 24858 201 1729 201
EA 500 1729 2.1 24858 215 1729 215
EA 500 1729 2.1 24858 211 1729 211
EA 500 1729 2.1 24858 213 1729 213
EA 500 1729 2.1 24858 219 1729 219
EA 500 1729 2.1 24858 219 1729 219
EA 500 1729 2.1 24858 214 1729 214
EA 500 1729 2.1 24858 216 1729 216
EA 500 1729 2.1 24858 223 1729 223
EA 500 1729 2.1 24858 207 1729 207
EA 500 1729 2.1 24858 207 1729 207
EA 500 1729 2.1 24858 212 1729 212
EA 500 1729 2.1 24858 209 1729 209
EA 500 1729 2.1 24858 214 1729 214
EA 500 1729 2.1 24858 207 1729 207
EA 500 1729 2.1 24858 212 1729 212
EA 500 1729 2.1 24858 207 1729 207
EA 500 1729 2.1 24858 224 1729 224
EA 500 1729 2.1 24858 214 1729 214
EA 500 1729 2.1 24858 213 1729 213
EA 500 1729 2.1 24858 208 1729 208
EA 500 1729 2.1 24858 209 1729 209
EA 500 1729 2.1 24858 209 1729 209
EA 500 1729 2.1 24858 211 1729 211
EA 500 1729 2.1 24858 217 1729 217
EA 500 1729 2.1 24858 207 1729 207
EA 500 1729 2.1 24858 219 1729 219
EA 500 1729 2.1 24858 202 1729 202
EA 500 1729 2.1 24858 211 1729 211
EA 500 1729 2.1 24858 220 1729 220
EA 500 1729 2.1 24858 210 1729 210
EA 500 1729 2.1 24858 205 1729 205
EA 500 1729 2.1 24858 228 1729 228
EA 500 1729 2.1 24858 220 1729 220
EA 500 1729 2.1 24858 207 1729 207
EA 500 1729 2.1 24858 214 1729 214
EA 500 1729 2.1 24858 214 1729 214
EA 500 1729 2.1 24858 208 1729 208
EA 500 1729 2.1 24858 211 1729 211
EA 500 1729 2.1 24858 205 1729 205
EA 500 1729 2.1 24858 223 1729 223
EA 500 1729 2.1 24858 205 1729 205
EA 500 1729 2.1 24858 208 1729 208
EA 500 1729 2.1 24858 202 1729 202
EA 500 1729 2.1 24858 202 1729 202
EA 500 1729 2.1 24858 221 1729 221
EA 500 1729 2.1 24858 212 1729 212
EA 500 1729 2.1 24858 204 1729 204
EA 500 1729 2.1 24858 206 1729 206
EA 500 1729 2.1 24858 212 1729 212
EA 500 1729 2.1 24858 210 1729 210
EA 500 1729 2.1 24858 231 1729 231
EA 500 1729 2.1 24858 212 1729 212
EA 500 1729 2.1 24858 215 1729 215
EA 500 1729 2.1 24858 216 1729 216
EA 500 1729 2.1 24858 206 1729 206
EA 500 1729 2.1 24858 218 1729 218
EA 500 1729 2.1 24858 206 1729 206
EA 500 1729 2.1 24858 211 1729 211
EA 500 1729 2.1 24858 204 1729 204
EA 500 1729 2.1 24858 215 1729 215
EA 500 1729 2.1 24858 204 1729 204
EA 500 1729 2.1 24858 216 1729 216
EA 500 1729 2.1 24858 219 1729 219
EA 500 1729 2.1 24858 220 1729 220
EA 500 1729 2.1 24858 228 1729 228
EA 500 1729 2.1 24858 210 1729 210
EA 500 1729 2.1 24858 213 1729 213
EA 500 1729 2.1 24858 231 1729 231
EA 500 1729 2.1 24858 214 1729 214
EA 500 1729 2.1 24858 204 1729 204
EA 500 1729 2.1 24858 206 1729 206
EA 500 1729 2.1 24858 208 1729 208
EA 500 1729 2.1 24858 204 1729 204
EA 500 1729 2.1 24858 202 1729 202
EA 500 1729 2.1 24858 220 1729 220
EA 500 1729 2.1 24858 215 1729 215
EA 500 1729 2.1 24858 219 1729 219
EA 500 1952 2.15 24858 235 1952 235
EA 500 1952 2.15 24858 223 1952 223
EA 500 1952 2.15 24858 227 1952 227
EA 500 1952 2.15 24858 241 1952 241
EA 500 1952 2.15 24858 224 1952 224
EA 500 1952 2.15 24858 222 1952 222
EA 500 1952 2.15 24858 221 1952 221
EA 500 1952 2.15 24858 227 1952 227
EA 500 1952 2.15 24858 226 1952 226
EA 500 1952 2.15 24858 231 1952 231
EA 500 1952 2.15 24858 221 1952 221
EA 500 1952 2.15 24858 237 1952 237
EA 500 1952 2.15 24858 223 1952 223
EA 500 1952 2.15 24858 224 1952 224
EA 500 1952 2.15 24858 222 1952 222
